raw_content,clean_content
Her mother decline postmortem?,mother decline postmortem
Depa tu dicaj kesalahan bullying pe kesalahan manslaughter??,depa tu dicaj kesalahan bullying pe kesalahan manslaughter
"JUSTIC FOR ZARA .. so pity Her & my deepest condenlence to her family , Life is precious in whayever race and gender , shame on the PARENT of the bulling the  VICTIM ..",justic zara pity deepest condenlence family life precious whayever race gender shame parent bulling victim
All teach by politic. You see  akmal do. Those in pas pn party party yb  want vote. They  teach tlalk without thinking. Islam also teach those young  people to hate Chinese. Those two old man he thought he is heo. Wrong they care themselves. And the money they sakau. Shame for Malaysia  had two liar in the country,teach politic see akmal pa pn party party yb want vote teach tlalk without thinking islam also teach young people hate chinese two old man thought heo wrong care money sakau shame malaysia two liar country
menteri bagi para pentadbir sekolah sibuk mengatur acara menyanyi 'Happy Brithday',menteri bagi para pentadbir sekolah sibuk mengatur acara menyanyi happy brithday
"Nail this case.
Malaysia needs to progress so let this case set a precedent for justice served without favour.",nail case malaysia need progress let case set precedent justice served without favour
"The BULLY CULTURE has to be fixed TOP DOWN. Look at Akmal and the KB case. Make an example of him, that will immediately lower the number of cases drastically.",bully culture fixed top look akmal kb case make example immediately lower number case drastically
"Ini baru dakwaan keatas kes buli, dakwaan keatas kes kematian belum dinyatakan.",ini baru dakwaan keatas kes buli dakwaan keatas kes kematian belum dinyatakan
"Great reporting and delivery as usual.
Regardless whether Akmal is being investigated or not, he is a Youth chief.  Should someone in that position, as a model to other youths, ignore police advice?  If teens go out and ignore police advice and carry out activities that might turn out to be detrimental to national peace, what would happen?  He clearly cannot be a role model to youths.",great reporting delivery usual regardless whether akmal investigated not youth chief someone position model youth ignore police advice teen go ignore police advice carry activity might turn detrimental national peace would happen clearly cannot role model youth
"ANWAR love to cry about BULL but yet love to be bully by the CCP CHINA COMMUNIST! Just look      at the visa fee entry whee all the caveman and cavewoman come to created all the problem.  Beating up the immigration official , cutting in line, bad mouth by the CCP caveman and cavewoman, yet no action being taken and yet the punishment is a slap on the waist!!??????",anwar love cry bull yet love bully ccp china communist look visa fee entry whee caveman cavewoman come created problem beating immigration official cutting line bad mouth ccp caveman cavewoman yet no action taken yet punishment slap waist
"As sabahan, my honestly shock to see this year, sabahan start protest frequently. Its is the right thing to do, for manys year they have been quite and not dare to fight for their right.",sabahan honestly shock see year sabahan start protest frequently right thing manys year quite not dare fight right
Zara kes is murder not bully or sudden death,zara kes murder not bully sudden death
"Only bully, neglect and sexual harrasment? How about homocide?",bully neglect sexual harrasment homocide
Every countries have this problems.,every country problem
"if zara is a boy, the case will be closed immediately",zara boy case closed immediately
